Name,Latitude,Longitude
SI0058A,"46,0483320000","14,4713890000"
SI0059A,"46,5697210000","15,6269450000"
SK0047A,"48,8963890000","18,0413930000"
SK0266A,"48,9933320000","21,2675000000"
SK0267A,"48,7261110000","21,2591670000"
SK0264A,"48,6911130000","21,2863880000"
SK0134A,"48,2830500000","18,1411200000"
SK0263A,"48,7333340000","19,1152780000"
PL0012A,"50,0576779995","19,9261890000"
MK0047A,"41,9919999995","21,4230000000"
PL0550A,"49,6192809995","20,7144030000"
PL0527A,"49,9218749995","18,4712780000"
PL0501A,"50,0105749995","19,9491890000"
PL0624A,"51,8852179995","17,7886730000"
PL0039A,"50,0693079995","20,0534920000"
PL0567A,"50,2467949995","19,0194690000"
IT0840A,"45,2847220000","9,8641670000"
CZ0TVER,"49,9246788025","18,4228725433"
PL0129A,"52,4075779995","20,9559280000"
IT1692A,"45,4783300000","9,2358300000"
PL0509A,"51,4044059995","19,6969560000"
IT1453A,"45,3719440000","11,8419440000"
IT1936A,"45,4383330000","12,2055560000"
PL0238A,"50,2793329995","18,6557640000"
IT1130A,"45,1432000000","7,7781800000"
PL0134A,"52,1917279995","20,8374890000"
IT2117A,"45,1763500000","7,7115800000"
AL0203A,"40,6259299995","20,7801800000"
PL0197A,"51,0862249995","17,0126890000"
PL0144A,"52,0538109995","20,4298920000"
IT1739A,"45,1422220000","10,0458330000"
PL0100A,"51,7764169995","19,4529360000"
CZ0TOPR,"49,8562583923","18,2697410583"
IT1177A,"45,5605560000","11,5397220000"
PL0549A,"49,9690169995","20,4395110000"
PL0530A,"50,4447359995","18,8296390000"
IT1737A,"45,5152780000","10,2194440000"
IT0777A,"45,6979595600","9,4061919400"
IT1016A,"45,4697220000","9,1980560000"
IT2062A,"45,6438900000","9,6147200000"
IT1153A,"45,1327780000","10,0166670000"
XK0001A,"42,3855857800","21,0813503300"
IT0963A,"45,4991670000","12,2622220000"
PL0507A,"51,2594309995","22,5691330000"
PL0138A,"51,3990839995","21,1474740000"
PL0489A,"50,0286809995","18,6912220000"
IT1215A,"45,0747200000","11,7833300000"
IT1388A,"45,4108300000","10,6919400000"
PL0008A,"50,2646109995","18,9750280000"
IT1868A,"45,1605560000","10,7955560000"
PL0081A,"51,1309499995","23,5146030000"
PL0503A,"51,7490529995","18,0483890000"
IT2168A,"45,0249400000","7,6490500000"
PL0623A,"50,3007609995","21,4343310000"
PL0218A,"50,3496079995","18,2365750000"
IT1743A,"45,5811100000","9,2744400000"
IT1865A,"44,9969400000","11,0708300000"
PL0542A,"53,4918309995","18,7525030000"
IT1385A,"45,8738890000","10,1775000000"
IT1924A,"44,9894440000","10,0191670000"
IT1183A,"41,4900000000","13,8305600000"
IT1464A,"45,4975000000","9,5563890000"
PL0151A,"53,1813939995","22,0543810000"
IT0692A,"45,1016700000","8,9055600000"
IT1878A,"45,3189100000","8,4023600000"
IT1965A,"45,3027867800","9,4952858900"
IT1590A,"45,6725000000","12,2386110000"
IT1343A,"45,4625000000","10,9122220000"
IT1128A,"45,1546400000","7,6580400000"
PL0079A,"52,0291939995","23,1493890000"
IT0771A,"45,8044400000","9,0836100000"
PL0498A,"50,8019179995","19,1069610000"
PL0594A,"49,7843389995","22,7562390000"
PL0499A,"49,8063889995","19,0231940000"
IT2119A,"44,7197600000","7,4262200000"
PL0552A,"50,1594059995","19,4774640000"
IT0707A,"45,6902780000","9,6438890000"
PL0283A,"50,8725489995","20,6049980000"
IT2013A,"41,6388890000","13,3233330000"
IT1596A,"45,8369440000","12,5102780000"
CZ0TOZR,"49,7960395813","18,2471809387"
PL0502A,"50,0201689995","21,0041670000"
IT1187A,"43,8408330000","10,5738890000"
PL0493A,"51,4153239995","21,1712850000"
PL0538A,"52,1721449995","22,2820010000"
IT1650A,"45,6269440000","9,0241670000"
FR04058,"48,9252654190","2,3566672658"
CZ0TTRO,"49,6681137085","18,6777992249"
PL0413A,"49,6901689995","21,7497000000"
IT0594A,"45,5408300000","10,2236100000"
IT1830A,"44,9203000000","8,6232000000"
